"","subtype","vloop","rate"
"6","AE",1,0.0864478499645254
"7","AE",2,0.0708043539200964
"8","AE",3,0.00317718841137192
"9","AE",4,0.0667191969491818
"10","AE",5,0.0535309962416471
"11","AG",1,0.0902138988193737
"12","AG",2,0.0520612808373008
"13","AG",3,0.00498876795777971
"14","AG",4,0.0408115789214124
"15","AG",5,0.0237869042601365
"1","A1",1,0.0645931563158102
"2","A1",2,0.0610376546656768
"3","A1",3,0.00491911139013207
"4","A1",4,0.0618571985881655
"5","A1",5,0.0251224947515774
"16","B",1,0.0448143989627379
"17","B",2,0.0284308086021415
"18","B",3,0.00331915517946777
"19","B",4,0.0320593210706518
"20","B",5,0.02270545292158
"21","C",1,0.0499542621727245
"22","C",2,0.0375160260694007
"23","C",3,0.00451609884276174
"24","C",4,0.0376800086412043
"25","C",5,0.0325781075812673
"26","D",1,0.0478046645758164
"27","D",2,0.0479061264320501
"28","D",3,0.00861651028272583
"29","D",4,0.071285655841734
"30","D",5,0.0233676122636111
"31","F1",1,0.0706863673683007
"32","F1",2,0.0398618365690504
"33","F1",3,6.47509586144786e-09
"34","F1",4,0.0293766889024756
"35","F1",5,0.0383127827210381
